digits opr
Four 162
Five 114
Five 131
Five 97
Five 112
Five 101
Five 155
Five 99
Five 54
Four 81
Five 27
Five 87
Five 17
Five 34
Five 98
Five 56
Five 107
Five 67
Five 50
Five 76
Five 24
Five 38
Five 52
Five 10
Five 50
Five 6
Five 11
Four 128
Five 118
Four 147
Four 107
Four 47
Five 121
Four 46
Four 95
Five 56
Four 59
Four 102
Five 56
Five 39
Four 72
Five 52
Five 0
Five 14
Five 66
Four 62
Five 67
Four 28
Five 58
Five 16
Five 2
Four 113
Five 109
Four 63
Four 105
Five 64
Five 121
Five 92
Five 76
Five 115
Five 63
Five 98
Four 82
Five 64
Five 93
Five 37
Five 18
Four 58
Five 71
Five 38
Four 52
Five 24
Four 43
Five 72
Four 74
Four 78
Five 30
Five 26
Five 22
Five 27
Five 59
Five 1
Five 8
Five 42
Five 25
Five 18
Five 8
Five 33
Five 38
Five 43
Five 30
Five 44
Five 32
Five 18
Five 23
Five 22
Five 38
Five 18
Five 21
Five 8
Five 10
Five 29
Five 17
Five 18
Five 19
Five 21
Four 18
Five 8
Five 18
Five 6
Five 0
Five 7
Five 4
Five 73
Five 48
Five 79
Four 75
Five 20
Four 62
Five 19
Five 38
Five 51
Five 68
Five 10
Five 13
Five 11
Four 40
Five 17
Five 16
Five 0
Five 5
Five 152
Five 99
Five 87
Five 39
Four 71
Five 76
Five 24
Four 50
Five 24
Five 30
Five 20
Four 0
Five 123
Five 34
Five 80
Five 77
Five 47
Five 19
Five 76
Five 39
Five 28
Five 33
Five 71
Five 41
Five 26
Four 203
Five 165
Five 172
Four 135
Five 107
Four 110
Four 104
Four 109
Five 131
Five 84
Four 116
Five 83
Four 148
Five 135
Four 101
Five 79
Four 62
Five 76
Five 96
Five 38
Five 51
Four 18
Five 120
Five 89
Five 90
Five 77
Five 99
Five 74
Five 38
Five 56
Five 60
Five 141
Four 109
Four 56
Four 82
Five 86
Five 71
Five 93
Five 52
Five 40
Five 74
Four 109
Four 91
Four 83
Four 40
Five 78
Five 83
Four 92
Four 55
Four 30
Five 61
Five 116
Five 67
Five 45
Five 49
Five 28
Five 5
Five 31
Five 37
Five 47
Five 12
Four 30
Five 14
Four 127
Five 95
Five 70
Five 39
Five 39
Four 77
Five 96
Five 100
Five 51
Five 31
Four 29
Four 33
Four 31
Four 28
Five 20
Five 22
Five 72
Five 52
Four 12
Five 43
Four 108
Five 6
Five 58
Four 81
Five 59
Five 42
Four 73
Five 26
Five 67
Four 54
Five 15
Five 27
Five 59
Five 76
Five 37
Five 61
Five 0
Four 22
Five 55
Four 3
Five 95
Four 145
Four 89
Five 46
Five 84
Five 107
Five 60
Five 94
Five 39
Four 44
Five 24
Four 54
Five 77
Five 74
Five 72
Five 40
Five 34
Five 67
Five 47
Five 63
Five 26
Five 18
Four 77
Five 72
Five 36
Five 38
Five 27
Four 38
Five 43
Five 33
Five 31
Four 34
Five 110
Five 74
Five 75
Five 59
Five 16
Five 60
Five 56
Four 28
Five 33
Five 24
Four 127
Four 47
Five 54
Five 27
Five 0
Five 61
Five 33
Five 34
Four 72
Five 5
